dataset, FL categorical size, categorical dimension, MSE, model space complexity
mnist,	16,	4,	0.0185,	2^{32}
mnist,	16,	8,	0.0145,	2^{48}
mnist,	16,	4,	0.0172,	2^{32}
mnist,	16,	2,	0.0305,	2^{16}
mnist,	32,	4,	0.0118,	2^{64}
mnist,	32,	4,	0.012,	2^{64}
mnist,	32,	8,	0.0105,	2^{96}
mnist,	32,	2,	0.0204,	2^{32}
mnist,	64,	2,	0.0133,	2^{64}
mnist,	64,	4,	0.0083,	2^{128}
mnist,	64,	8,	0.00845,	2^{192}
mnist,	64,	4,	0.00866,	2^{128}
mnist,	128,	4,	0.00676,	2^{256}
mnist,	128,	4,	0.00669,	2^{256}
mnist,	128,	8,	0.00678,	2^{384}
mnist,	128,	2,	0.0096,	2^{128}
