dataset, $|FL^{A}|$, $|FL^{A}_i|$, MSE, model space complexity
mnist,	16,	8,	0.0139,	2^{48}
mnist,	16,	2,	0.032,	2^{16}
mnist,	16,	4,	0.0168,	2^{32}
mnist,	20,	2,	0.0285,	2^{20}
mnist,	20,	8,	0.012,	2^{60}
mnist,	20,	4,	0.0146,	2^{40}
mnist,	24,	4,	0.0137,	2^{48}
mnist,	24,	8,	0.0113,	2^{72}
mnist,	24,	2,	0.0242,	2^{24}
mnist,	28,	8,	0.0108,	2^{84}
mnist,	28,	4,	0.0122,	2^{56}
mnist,	28,	2,	0.0219,	2^{28}
mnist,	32,	16,	0.0102,	2^{128}
mnist,	32,	8,	0.0102,	2^{96}
mnist,	32,	2,	0.0214,	2^{32}
mnist,	32,	4,	0.0113,	2^{64}
mnist,	40,	4,	0.0102,	2^{80}
mnist,	40,	2,	0.0176,	2^{40}
mnist,	40,	16,	0.0094,	2^{160}
mnist,	40,	8,	0.0089,	2^{120}
mnist,	48,	8,	0.0088,	2^{144}
mnist,	48,	4,	0.0094,	2^{96}
mnist,	48,	2,	0.0167,	2^{48}
mnist,	48,	32,	0.0085,	2^{240}
mnist,	48,	16,	0.0088,	2^{192}
mnist,	56,	16,	0.0081,	2^{224}
mnist,	56,	2,	0.0144,	2^{56}
mnist,	56,	32,	0.0079,	2^{280}
mnist,	56,	8,	0.0084,	2^{168}
mnist,	56,	4,	0.0089,	2^{112}
mnist,	64,	4,	0.0086,	2^{128}
mnist,	64,	2,	0.014,	2^{64}
mnist,	64,	8,	0.0079,	2^{192}
mnist,	64,	16,	0.0079,	2^{256}
mnist,	64,	32,	0.0076,	2^{320}
